Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,JuJu Smith-Schuster (13372456),JuJu Smith-Schuster,13372456,WR/FLEX,6900,PIT@SF 09/22/2019 04:25PM ET,PIT,13.6
WR,A.J. Green (13372462),A.J. Green,13372462,WR/FLEX,6800,CIN@BUF 09/22/2019 01:00PM ET,CIN,0
WR,Sammy Watkins (13372460),Sammy Watkins,13372460,WR/FLEX,6800,BAL@KC 09/22/2019 01:00PM ET,KC,30.35
RB,David Johnson (13372176),David Johnson,13372176,RB/FLEX,6800,CAR@ARI 09/22/2019 04:05PM ET,ARI,17.05
WR,Adam Thielen (13372464),Adam Thielen,13372464,WR/FLEX,6700,OAK@MIN 09/22/2019 01:00PM ET,MIN,12.9
RB,Todd Gurley II (13372178),Todd Gurley II,13372178,RB/FLEX,6700,LAR@CLE 09/22/2019 08:20PM ET,LAR,13.4
QB,Tom Brady (13372082),Tom Brady,13372082,QB,6600,NYJ@NE 09/22/2019 01:00PM ET,NE,26.65
WR,Kenny Golladay (13372466),Kenny Golladay,13372466,WR/FLEX,6600,DET@PHI 09/22/2019 01:00PM ET,DET,21.45
WR,Mike Evans (13372468),Mike Evans,13372468,WR/FLEX,6600,NYG@TB 09/22/2019 04:05PM ET,TB,7.45
WR,Tyler Boyd (13372472),Tyler Boyd,13372472,WR/FLEX,6500,CIN@BUF 09/22/2019 01:00PM ET,CIN,19.75
QB,Dak Prescott (13372083),Dak Prescott,13372083,QB,6500,MIA@DAL 09/22/2019 01:00PM ET,DAL,32.53
RB,Nick Chubb (13372180),Nick Chubb,13372180,RB/FLEX,6500,LAR@CLE 09/22/2019 08:20PM ET,CLE,15.65
WR,T.Y. Hilton (13372474),T.Y. Hilton,13372474,WR/FLEX,6400,ATL@IND 09/22/2019 01:00PM ET,IND,21.5
QB,Deshaun Watson (13372084),Deshaun Watson,13372084,QB,6400,HOU@LAC 09/22/2019 04:25PM ET,HOU,22.29
RB,James Conner (13372182),James Conner,13372182,RB/FLEX,6400,PIT@SF 09/22/2019 04:25PM ET,PIT,12
WR,Cooper Kupp (13372470),Cooper Kupp,13372470,WR/FLEX,6400,LAR@CLE 09/22/2019 08:20PM ET,LAR,16.1
WR,Julian Edelman (13372476),Julian Edelman,13372476,WR/FLEX,6300,NYJ@NE 09/22/2019 01:00PM ET,NE,12.79
QB,Russell Wilson (13372085),Russell Wilson,13372085,QB,6300,NO@SEA 09/22/2019 04:25PM ET,SEA,22.4
WR,Brandin Cooks (13372478),Brandin Cooks,13372478,WR/FLEX,6300,LAR@CLE 09/22/2019 08:20PM ET,LAR,11.25
RB,Derrick Henry (13372184),Derrick Henry,13372184,RB/FLEX,6200,TEN@JAX 09/19/2019 08:20PM ET,TEN,23.1
WR,Tyler Lockett (13372480),Tyler Lockett,13372480,WR/FLEX,6200,NO@SEA 09/22/2019 04:25PM ET,SEA,14.65
QB,Jimmy Garoppolo (13372086),Jimmy Garoppolo,13372086,QB,6200,PIT@SF 09/22/2019 04:25PM ET,SF,17.56
WR,Robert Woods (13372482),Robert Woods,13372482,WR/FLEX,6200,LAR@CLE 09/22/2019 08:20PM ET,LAR,11.4
QB,Aaron Rodgers (13372088),Aaron Rodgers,13372088,QB,6100,DEN@GB 09/22/2019 01:00PM ET,GB,14.14
RB,Aaron Jones (13372186),Aaron Jones,13372186,RB/FLEX,6100,DEN@GB 09/22/2019 01:00PM ET,GB,16.45
QB,Jared Goff (13372091),Jared Goff,13372091,QB,6100,LAR@CLE 09/22/2019 08:20PM ET,LAR,15.28
RB,Leonard Fournette (13372190),Leonard Fournette,13372190,RB/FLEX,6000,TEN@JAX 09/19/2019 08:20PM ET,JAX,12.55
WR,Stefon Diggs (13372484),Stefon Diggs,13372484,WR/FLEX,6000,OAK@MIN 09/22/2019 01:00PM ET,MIN,8.3
RB,Sony Michel (13372188),Sony Michel,13372188,RB/FLEX,6000,NYJ@NE 09/22/2019 01:00PM ET,NE,7.45
QB,Cam Newton (13372089),Cam Newton,13372089,QB,6000,CAR@ARI 09/22/2019 04:05PM ET,CAR,11.34
QB,Drew Brees (13372090),Drew Brees,13372090,QB,6000,NO@SEA 09/22/2019 04:25PM ET,NO,12.66
